经度,纬度,位置,震级
-67.0016,17.9888,"M 3.0 - 5 km ENE of La Parguera, Puerto Rico",3.02
-117.8861667,36.1043333,"M 1.4 - 9km NE of Coso Junction, CA",1.44
-97.91881561,35.65401077,"M 1.9 - 9 km SSE of Okarche, Oklahoma",1.93
-117.1735,34.018,"M 1.0 - 4km S of Redlands, CA",0.96
-117.8612,38.2105,"M 1.1 - 29 km SE of Mina, Nevada",1.1
-149.9064,61.815,"M 1.9 - 10 km NE of Willow, Alaska",1.9
-153.2027,59.41,"M 1.7 - 66 km SE of Pedro Bay, Alaska",1.7
-149.8562,62.7391,"M 2.1 - 34 km NNE of Chase, Alaska",2.1
-121.63783333333333,46.428,"M 1.0 - 20 km S of Packwood, Washington",1.03
69.4435,37.799,"M 4.1 - 17 km W of Hulbuk, Tajikistan",4.1
-112.5198333,46.871,"M 1.2 - 15 km SE of Lincoln, Montana",1.18
-116.501,33.4948333,"M 1.0 - 17km ESE of Anza, CA",0.96
-66.8955,17.9311666666667,"M 1.8 - 4 km SSE of Guánica, Puerto Rico",1.83
-161.2079,54.6414,"M 3.2 - 85 km ESE of King Cove, Alaska",3.2
-122.9035,38.0496667,"M 1.2 - 7km SW of Inverness, CA",1.22
-116.8085,33.5846667,"M 1.7 - 13km WNW of Anza, CA",1.71
