Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,MC
311,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.29E-08,-7.29E-08,-7.29E-08
343,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.30E-08,-7.30E-08,-7.30E-08
468,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.30E-08,-7.30E-08,-7.30E-08
266,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.42E-08,-7.42E-08,-7.42E-08
490,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.48E-08,-7.48E-08,-7.48E-08
226,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.51E-08,-7.51E-08,-7.51E-08
376,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.57E-08,-7.57E-08,-7.57E-08
215,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.57E-08,-7.57E-08,-7.57E-08
476,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.73E-08,-7.73E-08,-7.73E-08
290,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.75E-08,-7.75E-08,-7.75E-08
258,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.76E-08,-7.76E-08,-7.76E-08
137,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.77E-08,-7.77E-08,-7.77E-08
3,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.88E-08,-7.88E-08,-7.88E-08
370,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.90E-08,-7.90E-08,-7.90E-08
359,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.96E-08,-7.96E-08,-7.96E-08
427,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.97E-08,-7.97E-08,-7.97E-08
332,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-7.98E-08,-7.98E-08,-7.98E-08
101,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.10E-08,-8.10E-08,-8.10E-08
472,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.15E-08,-8.15E-08,-8.15E-08
353,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.28E-08,-8.28E-08,-8.28E-08
136,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.30E-08,-8.30E-08,-8.30E-08
208,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.35E-08,-8.35E-08,-8.35E-08
177,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.47E-08,-8.47E-08,-8.47E-08
162,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.47E-08,-8.47E-08,-8.47E-08
390,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.69E-08,-8.69E-08,-8.69E-08
26,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.72E-08,-8.72E-08,-8.72E-08
120,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.87E-08,-8.87E-08,-8.87E-08
132,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-8.98E-08,-8.98E-08,-8.98E-08
445,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.03E-08,-9.03E-08,-9.03E-08
143,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.06E-08,-9.06E-08,-9.06E-08
469,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.07E-08,-9.07E-08,-9.07E-08
210,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.14E-08,-9.14E-08,-9.14E-08
291,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.27E-08,-9.27E-08,-9.27E-08
498,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.36E-08,-9.36E-08,-9.36E-08
298,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.38E-08,-9.38E-08,-9.38E-08
455,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.50E-08,-9.50E-08,-9.50E-08
403,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.54E-08,-9.54E-08,-9.54E-08
145,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.56E-08,-9.56E-08,-9.56E-08
458,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.61E-08,-9.61E-08,-9.61E-08
98,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.63E-08,-9.63E-08,-9.63E-08
256,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.72E-08,-9.72E-08,-9.72E-08
122,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.76E-08,-9.76E-08,-9.76E-08
463,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.94E-08,-9.94E-08,-9.94E-08
307,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.96E-08,-9.96E-08,-9.96E-08
260,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-9.98E-08,-9.98E-08,-9.98E-08
71,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.01E-07,-1.01E-07,-1.01E-07
76,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.01E-07,-1.01E-07,-1.01E-07
157,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.02E-07,-1.02E-07,-1.02E-07
387,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.04E-07,-1.04E-07,-1.04E-07
337,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.10E-07,-1.10E-07,-1.10E-07
253,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.15E-07,-1.15E-07,-1.15E-07
309,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.15E-07,-1.15E-07,-1.15E-07
69,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.16E-07,-1.16E-07,-1.16E-07
159,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.16E-07,-1.16E-07,-1.16E-07
59,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.18E-07,-1.18E-07,-1.18E-07
205,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.18E-07,-1.18E-07,-1.18E-07
418,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.19E-07,-1.19E-07,-1.19E-07
405,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.21E-07,-1.21E-07,-1.21E-07
179,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.25E-07,-1.25E-07,-1.25E-07
15,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.29E-07,-1.29E-07,-1.29E-07
89,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.32E-07,-1.32E-07,-1.32E-07
360,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.33E-07,-1.33E-07,-1.33E-07
312,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.33E-07,-1.33E-07,-1.33E-07
116,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.33E-07,-1.33E-07,-1.33E-07
421,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.34E-07,-1.34E-07,-1.34E-07
52,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.39E-07,-1.39E-07,-1.39E-07
